Date,Open,High,Low,Close,Volume,Company,company
2024-11-12,0.8280795816844295,0.8335239011005238,0.7975514167418718,0.8048244825898061,-0.452579323687629,price_powl,powl
2024-11-11,0.9064486742395268,0.8991911917740183,0.8681787873065288,0.851914071345512,-0.4531226939529236,price_powl,powl
2024-11-08,0.7721333739680428,0.8321535486240318,0.769882962293862,0.8187134212239802,-0.4530145164614825,price_powl,powl
2024-11-07,0.8230288823767004,0.8115982614766525,0.766298385199383,0.7699637999621977,-0.4519862972605474,price_powl,powl
2024-11-06,0.6803882535759922,0.819710748137485,0.6263318514633976,0.8264602395856708,-0.4488966179329057,price_powl,powl
2024-11-05,0.4083720194311394,0.5205353954697614,0.4262676423777874,0.5310851223377765,-0.4530636395910244,price_powl,powl
2024-11-04,0.4168083523407534,0.4442889836777491,0.3955186919892099,0.3897610216537897,-0.4508300942121137,price_powl,powl
2024-11-01,0.3295589093544835,0.4376016635924682,0.3467348380940343,0.4477514905327316,-0.4493425555146488,price_powl,powl
2024-10-31,0.305526461000123,0.3076922488210311,0.2936942988991651,0.3130121854561819,-0.453808467990665,price_powl,powl
2024-10-30,0.3422134087189045,0.3295082602467831,0.2982870383014665,0.3098027892777673,-0.4518355473253144,price_powl,powl
2024-10-29,0.3189024888370766,0.3378948174029137,0.3163779508251652,0.3483155434187441,-0.4517105793181504,price_powl,powl
2024-10-28,0.3414918802463717,0.3608071108098592,0.3513275774963355,0.3376913353798539,-0.453871113306637,price_powl,powl
2024-10-25,0.3042499106256419,0.3125158895382827,0.3063523367640443,0.3093047795259442,-0.454326883930587,price_powl,powl
2024-10-24,0.3187359822664921,0.3181069276423701,0.2964387407371256,0.2838509477661032,-0.4534843563312722,price_powl,powl
2024-10-23,0.3575875154028717,0.3426636440211057,0.2822124503934121,0.314063539376697,-0.4500032349553741,price_powl,powl
2024-10-22,0.4321269568345259,0.4224181581529375,0.3871733484411259,0.3800221642848068,-0.4524517466278965,price_powl,powl
